Title,Rating,Voting,Duration,Genre
Wicked,7.5,160000,160,Musical
Mufasa: The Lion King,6.6,66000,118,Musical
Moana 2,6.6,104000,100,Musical
Better Man,7.6,28000,135,Musical
Joker: Folie à Deux,5.2,161000,138,Musical
Emilia Pérez,5.4,89000,132,Musical
Mean Girls,5.5,37000,112,Musical
The End,5.5,2000,148,Musical
Descendants: The Rise of Red,4.7,7100,91,Musical
Spellbound,5.5,7500,109,Musical
Spermageddon,5.7,848,80,Musical
Piece by Piece,6.9,5500,93,Musical
Thelma the Unicorn,5.7,3000,93,Musical
This Is Me... Now,4.1,7200,65,Musical
The Merry Gentlemen,4.8,10000,87,Musical
The Opera!,6.4,104,106,Musical
Bonnie and Clyde: The Musical,7.6,101,150,Musical
Queens of Drama,6.3,203,114,Musical
The Deb,7.5,72,121,Musical
The Night Before Christmas in Wonderland,6.3,521,80,Musical
Girl from the North Country,7.3,25,152,Musical
How Could I Live Without You?,6.9,1000,105,Musical
Joli joli,5.6,112,116,Musical
Noah's Ark,4.3,671,96,Musical
Chainsaws Were Singing,7.2,374,117,Musical
Fox & Hare Save the Forest,5.9,204,71,Musical
Dongeng Sang Kancil,6.8,185,99,Musical
Gaga Chromatica Ball,8.1,2000,117,Musical
My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,7.8,67,0,Musical
Victory,6.4,299,120,Musical
O Melhor Amigo,7.3,69,96,Musical
First Nights at Freddy's,9.3,16,98,Musical
Varshangalkku Shesham,6.6,4200,166,Musical
Trapezium,6.3,158,102,Musical
Polvo serán,6.7,297,106,Musical
Heart Strings,5.8,11,107,Musical
Carol,8.3,48,115,Musical
Krispy Rishtey,6.5,70,133,Musical
Shannon Matthews the Musical the Movie,7.5,199,91,Musical
Captain Avispa,5.8,179,96,Musical
"Kiss Me, Kate: The Musical",7.7,28,161,Musical
Dans la cuisine des Nguyen,7.2,73,99,Musical
Sisters and Neighbors!,6.5,190,105,Musical
Kajolrekha,6.3,177,156,Musical
Benjamin Bat,7.8,32,75,Musical
Isang himala,7.1,30,145,Musical
Shahid,6.5,84,84,Musical
Amaltash,8.1,151,113,Musical
Petta Rap,3.8,1700,123,Musical
Eating Me Up,8.1,295,104,Musical
Ya Boy Kongming! Road to Summer Sonia,7.4,40,119,Musical
The Good Loan Sharks,5.0,75,122,Musical
Bring on the Damned!,7.6,6,114,Musical
Under Streetlights,9.1,16,90,Musical
Zhi Ci Qing Lv,6.7,49,89,Musical
Pattaapakal,2.7,221,104,Musical
Nature Cat's Nature Movie Special Extraordinaire,7.3,19,53,Musical
Hov1 4-ever,6.4,73,92,Musical
Solo Town,6.4,25,103,Musical
The Clashing Elements: Saviors of the Multiverse,7.2,9,91,Musical
Mezhdu nami leto,5.7,56,113,Musical
Call Me Agnes,6.8,17,94,Musical
Iyus Jenius,9.0,8,82,Musical
Peaceful Lights,9.6,19,86,Musical
Rangde,7.4,8,143,Musical
Keo=peul-ji-ok,5.3,7,94,Musical
"Bryson, the Demon Slayer",4.5,12,59,Musical
El musical de los 80s y los 90s. La película,6.1,8,80,Musical
KorimDick,8.6,7,21,Musical
The Substance,7.3,303000,141,SCi-fi
Deadpool & Wolverine,7.6,495000,128,SCi-fi
Alien: Romulus,7.1,247000,119,SCi-fi
The Wild Robot,8.2,166000,102,SCi-fi
Dune: Part Two,8.5,628000,166,SCi-fi
Sonic the Hedgehog 3,6.9,61000,110,SCi-fi
The Life of Chuck,7.5,631,110,SCi-fi
The Shrouds,6.0,2000,120,SCi-fi
Venom: The Last Dance,6.0,120000,110,SCi-fi
The Assessment,6.7,4100,114,SCi-fi
Furiosa: A Mad Max Saga,7.5,286000,148,SCi-fi
Megalopolis,4.7,36000,138,SCi-fi
Subservience,5.4,28000,106,SCi-fi
Y2K,4.8,15000,91,SCi-fi
Elevation,5.6,22000,91,SCi-fi
Borderlands,4.7,49000,101,SCi-fi
Madame Web,4.0,101000,116,SCi-fi
Transformers One,7.6,51000,104,SCi-fi
Despicable Me 4,6.2,66000,94,SCi-fi
Die Alone,5.7,3300,90,SCi-fi
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,4600,91,SCi-fi
Survive,4.5,2700,90,SCi-fi
Caddo Lake,6.8,43000,103,SCi-fi
A Quiet Place: Day One,6.3,151000,99,SCi-fi
Kingdom of the Planet of the Apes,6.9,152000,145,SCi-fi
It's What's Inside,6.6,43000,103,SCi-fi
Godzilla x Kong: The New Empire,6.0,122000,115,SCi-fi
Time Cut,5.0,19000,91,SCi-fi
Werewolves,4.4,6900,93,SCi-fi
Ghostbusters: Frozen Empire,6.1,94000,115,SCi-fi
Uglies,4.7,33000,100,SCi-fi
Arcadian,5.5,23000,92,SCi-fi
Spaceman,5.7,43000,107,SCi-fi
The End,5.5,2000,148,SCi-fi
Distant,5.7,3300,87,SCi-fi
Apocalypse Z: The Beginning of the End,6.1,20000,117,SCi-fi
Atlas,5.6,56000,118,SCi-fi
Rich Flu,5.2,6000,116,SCi-fi
40 Acres,6.9,168,113,SCi-fi
Wallace & Gromit: Vengeance Most Fowl,7.5,35000,82,SCi-fi
Tim Travers & the Time Travelers Paradox,6.8,285,95,SCi-fi
Kalki 2898 AD,7.0,67000,180,SCi-fi
